run_label,run_id,condition,spec_name,spec_version,rep,metric,value,unit,duration_s,timestamp
main_001,main_001__agent_education_system__claude_code__rep08,claude_code,agent_education_system,1.0.0,8,complexity_mean,2.866667,cc,66.496,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep08,claude_code,agent_education_system,1.0.0,8,duplication_pct,0.0,%,66.496,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep08,claude_code,agent_education_system,1.0.0,8,security_density,98.837209,per_kloc,66.496,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep07,claude_code,agent_education_system,1.0.0,7,hallucinations,0.0,count,67.136,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep07,claude_code,agent_education_system,1.0.0,7,correction_freq,0.0,per_kkey,67.136,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep07,claude_code,agent_education_system,1.0.0,7,complexity_mean,2.95,cc,67.136,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep07,claude_code,agent_education_system,1.0.0,7,duplication_pct,0.0,%,67.136,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep07,claude_code,agent_education_system,1.0.0,7,security_density,119.047619,per_kloc,67.136,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep01,claude_code,agent_education_system,1.0.0,1,hallucinations,0.0,count,59.577,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep01,claude_code,agent_education_system,1.0.0,1,correction_freq,0.0,per_kkey,59.577,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep01,claude_code,agent_education_system,1.0.0,1,complexity_mean,2.882353,cc,59.577,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep01,claude_code,agent_education_system,1.0.0,1,duplication_pct,0.0,%,59.577,2026-05-31T12:27:27.106630+00:00
main_001,main_001__agent_education_system__claude_code__rep01,claude_code,agent_education_system,1.0.0,1,security_density,129.411765,per_kloc,59.577,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__claude_code__rep06,claude_code,internal_tool_cli,1.0.0,6,hallucinations,0.0,count,57.098,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__claude_code__rep06,claude_code,internal_tool_cli,1.0.0,6,correction_freq,0.0,per_kkey,57.098,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__claude_code__rep06,claude_code,internal_tool_cli,1.0.0,6,complexity_mean,4.333333,cc,57.098,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__claude_code__rep06,claude_code,internal_tool_cli,1.0.0,6,duplication_pct,0.0,%,57.098,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__claude_code__rep06,claude_code,internal_tool_cli,1.0.0,6,security_density,0.0,per_kloc,57.098,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__claude_code__rep01,claude_code,internal_tool_cli,1.0.0,1,hallucinations,0.0,count,50.374,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__claude_code__rep01,claude_code,internal_tool_cli,1.0.0,1,correction_freq,0.0,per_kkey,50.374,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__claude_code__rep01,claude_code,internal_tool_cli,1.0.0,1,complexity_mean,4.2,cc,50.374,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__claude_code__rep01,claude_code,internal_tool_cli,1.0.0,1,duplication_pct,0.0,%,50.374,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__claude_code__rep01,claude_code,internal_tool_cli,1.0.0,1,security_density,0.0,per_kloc,50.374,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__cursor_agent__rep02,cursor_agent,internal_tool_cli,1.0.0,2,hallucinations,0.0,count,60.312,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__cursor_agent__rep02,cursor_agent,internal_tool_cli,1.0.0,2,correction_freq,0.0,per_kkey,60.312,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__cursor_agent__rep02,cursor_agent,internal_tool_cli,1.0.0,2,complexity_mean,2.777778,cc,60.312,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__cursor_agent__rep02,cursor_agent,internal_tool_cli,1.0.0,2,duplication_pct,3.269755,%,60.312,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__cursor_agent__rep02,cursor_agent,internal_tool_cli,1.0.0,2,security_density,50.970874,per_kloc,60.312,2026-05-31T12:27:27.106630+00:00
main_001,main_001__data_pipeline__cursor_agent__rep01,cursor_agent,data_pipeline,1.0.0,1,hallucinations,0.0,count,54.977,2026-05-31T12:27:27.106630+00:00
main_001,main_001__data_pipeline__cursor_agent__rep01,cursor_agent,data_pipeline,1.0.0,1,correction_freq,0.0,per_kkey,54.977,2026-05-31T12:27:27.106630+00:00
main_001,main_001__data_pipeline__cursor_agent__rep01,cursor_agent,data_pipeline,1.0.0,1,complexity_mean,3.416667,cc,54.977,2026-05-31T12:27:27.106630+00:00
main_001,main_001__data_pipeline__cursor_agent__rep01,cursor_agent,data_pipeline,1.0.0,1,duplication_pct,0.0,%,54.977,2026-05-31T12:27:27.106630+00:00
main_001,main_001__data_pipeline__cursor_agent__rep01,cursor_agent,data_pipeline,1.0.0,1,security_density,0.0,per_kloc,54.977,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__cursor_agent__rep00,cursor_agent,internal_tool_cli,1.0.0,0,hallucinations,0.0,count,55.34,2026-05-31T12:27:27.106630+00:00
main_001,main_001__internal_tool_cli__cursor_agent__rep00,cursor_agent,internal_tool_cli,1.0.0,0,correction_freq,0.0,per_kkey,55.34,2026-05-31T12:27:27.106630+00:00
